bpix,wpix,wpix_ratio
1062.0,3474.0,0.7658730158730159
688.0,3536.0,0.8371212121212122
605.0,3410.0,0.8493150684931506
844.0,3317.0,0.7971641432347993
735.0,3729.0,0.8353494623655914
843.0,3717.0,0.8151315789473684
781.0,3977.0,0.8358554014291719
1131.0,3874.0,0.7740259740259741
1106.0,4053.0,0.7856173677069199
645.0,3576.0,0.8471926083866382
706.0,3434.0,0.8294685990338164
786.0,3768.0,0.8274044795783926
855.0,3216.0,0.7899778924097274
1126.0,3254.0,0.7429223744292237
775.0,3481.0,0.8179041353383458
743.0,3037.0,0.8034391534391534
974.0,2845.0,0.7449594134590207
610.0,2822.0,0.8222610722610723
706.0,2934.0,0.8060439560439561
679.0,3065.0,0.8186431623931624
754.0,2864.0,0.7915975677169707
586.0,2690.0,0.8211233211233211
770.0,4413.0,0.8514373914721204
833.0,2859.0,0.7743770314192849
652.0,4244.0,0.8668300653594772
906.0,4374.0,0.8284090909090909
545.0,2211.0,0.8022496371552975
627.0,2493.0,0.7990384615384616
426.0,2319.0,0.8448087431693989
623.0,2622.0,0.8080123266563944
421.0,2504.0,0.856068376068376
527.0,2481.0,0.8248005319148937
800.0,2539.0,0.7604073075771189
788.0,4048.0,0.837055417700579
518.0,2814.0,0.8445378151260504
747.0,3523.0,0.8250585480093677
677.0,3484.0,0.8372987262677241
1329.0,3621.0,0.7315151515151516
1005.0,4325.0,0.8114446529080676
811.0,3851.0,0.8260403260403261
1279.0,4481.0,0.7779513888888889
1399.0,4201.0,0.7501785714285715
1317.0,4043.0,0.7542910447761194
946.0,4400.0,0.823045267489712
1083.0,5799.0,0.8426329555361813
828.0,3982.0,0.8278586278586278
1488.0,6231.0,0.8072289156626506
592.0,3377.0,0.8508440413202318
1049.0,2941.0,0.7370927318295739
663.0,3387.0,0.8362962962962963
